,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,FAVPELOSI,HEALTHCARE18,IMPEACH18,MUELLERAPP,RUSSIA18,TRUMPIMM,RELIGN18,RACEFACTOR,ISSUE18,RACE18
4237,31674,1,3.0,2,,3,10,5,1,1.0,6,1,2,1,5,3,2,3,3,Version 2,.389378786087036,6,2,11,1,1,1,1,1,2,1.0,1,2,1
4238,31675,1,1.0,1,,7,4,6,5,2.0,2,1,1,2,7,1,2,1,1,Version 2,.789462864398956,1,1,11,2,1,1,1,1,2,6.0,1,4,1
4240,31678,1,1.0,1,,6,7,3,2,2.0,4,1,1,1,5,2,2,1,3,Version 2,.481072545051575,3,2,11,1,1,2,1,1,2,3.0,1,4,1
4243,31682,1,3.0,1,1.0,5,11,13,4,1.0,6,1,1,1,5,3,4,3,3,Version 2,.410670012235641,5,2,30,2,1,1,2,1,2,6.0,1,1,2
4251,31700,1,1.0,2,1.0,8,4,11,5,2.0,2,1,2,2,7,1,4,3,3,Version 2,1.21323132514954,2,1,30,2,1,1,1,1,2,4.0,1,1,1
4254,31705,1,1.0,2,1.0,6,7,15,1,2.0,4,1,2,1,5,2,4,3,3,Version 2,.451943904161453,4,2,30,1,1,1,1,1,2,5.0,1,1,1
4258,31711,1,1.0,2,1.0,8,4,15,4,2.0,2,1,2,2,7,1,2,1,2,Version 2,.95714396238327,2,1,33,1,1,1,1,1,2,2.0,1,1,1
4261,31718,2,2.0,1,2.0,5,3,8,2,2.0,1,2,5,3,1,1,2,1,1,Version 2,.775862395763397,1,1,33,2,1,2,2,2,1,2.0,2,3,1
4264,31728,1,1.0,2,1.0,6,3,20,4,2.0,2,1,2,2,7,1,4,2,3,Version 2,.8193638920784,2,1,30,1,1,1,3,3,2,1.0,1,4,1
4265,31732,1,,1,1.0,2,1,9,5,2.0,2,1,1,2,7,1,4,1,1,Version 2,.396036267280579,1,1,28,1,1,1,1,2,2,4.0,1,4,1
4269,31737,2,,2,2.0,8,4,1,4,,1,2,6,3,1,1,2,1,2,Version 2,1.35238635540009,2,1,12,2,1,2,2,2,1,2.0,4,3,3
4272,31744,1,1.0,1,,4,6,1,5,2.0,4,1,1,1,5,2,2,1,3,Version 2,.483465254306793,3,2,11,3,2,1,3,1,1,3.0,2,1,1
4278,31751,1,,1,3.0,6,3,4,1,2.0,2,1,1,1,5,1,2,1,1,Version 2,.827620923519135,1,1,12,1,1,1,2,1,2,1.0,1,1,2
4287,31778,2,2.0,2,2.0,3,2,5,4,2.0,3,3,4,3,3,1,4,5,3,Version 2,.540288507938385,2,1,6,2,1,2,2,2,1,1.0,2,2,2
4288,31780,1,3.0,2,3.0,6,3,2,1,2.0,2,1,2,1,5,1,4,1,2,Version 2,.882391929626465,2,1,30,2,1,2,1,1,2,6.0,1,5,1
4291,31786,2,,2,2.0,8,4,9,1,2.0,1,2,6,1,2,1,4,1,2,Version 2,1.32007563114166,2,1,28,2,3,2,1,2,3,2.0,2,4,2
4292,31787,1,1.0,1,,8,4,6,5,2.0,3,3,3,1,4,1,2,1,1,Version 2,.789462864398956,1,1,11,1,1,1,1,1,2,1.0,1,1,1
4294,31789,2,1.0,1,,1,1,16,3,2.0,2,1,1,2,7,1,2,1,1,Version 2,.619190335273743,1,1,11,1,1,1,2,2,2,7.0,1,4,1
4299,31802,1,1.0,1,,6,3,17,1,2.0,2,1,1,1,5,1,2,5,3,Version 2,.444108754396439,1,1,11,1,1,1,1,1,2,1.0,2,1,2
4309,31822,1,1.0,1,1.0,3,10,15,2,1.0,6,1,1,2,7,3,4,3,3,Version 2,.324213176965714,5,2,30,2,1,1,2,2,2,1.0,1,1,1
4313,31840,2,,2,,8,4,16,1,2.0,1,2,6,3,1,1,2,1,2,Version 2,1.47101855278015,2,1,11,2,1,2,2,2,3,2.0,4,3,4
4321,31851,1,1.0,2,,6,11,1,5,1.0,1,2,6,3,1,3,2,1,3,Version 2,.646125495433807,6,2,11,3,1,1,2,2,2,1.0,2,2,1
4329,31878,2,,2,2.0,1,1,4,4,2.0,1,2,6,3,1,1,2,1,2,Version 2,1.30303192138672,2,1,12,2,3,2,2,2,1,2.0,4,3,4
4330,31881,1,,2,1.0,4,13,9,5,2.0,8,1,2,1,5,5,4,1,3,Version 2,.62280660867691,7,2,28,1,1,1,1,1,2,1.0,1,1,1
4336,31894,1,2.0,1,,6,11,1,5,1.0,7,3,3,1,4,1,2,1,3,Version 2,.564545035362244,5,2,11,1,1,1,1,1,2,3.0,1,1,1
